label,narasi
1,"['caller', 'radio', 'talk', 'show', 'recently', 'shared', 'wife', 'hospitalized', 'n', 'told', 'covid', 'n', 'couple', 'days', 'left', 'live', 'doctor', 'friend', 'suggested', 'tested', 'legionnaires', 'disease', 'wore', 'mask', 'every', 'day', 'day', 'long', 'turns', 'legionnaires', 'disease', 'moisture', 'n', 'bacteria', 'mask', 'given', 'antibiotics', 'n', 'within', 'two', 'days', 'better', 'spikes', 'covid', 'really', 'something', 'else', 'due', 'mask', 'induced', 'infections']"
1,"['anggota', 'grup', 'sesuai', 'instruksi', 'gubernur', 'jawa', 'tengah', 'hasil', 'rapat', 'tim', 'gugus', 'tugas', 'covid', 'jateng', 'sbb']"
1,"['jokowi', 'presiden', 'baik', 'dlm', 'sejarah', 'bangsa', 'indonesia', 'jim', 'rohn', 'motivator', 'baik', 'dunia']"
1,"['maaf', 'bukan', 'politik', 'nyata', 'pak', 'jokowi', 'hasil', 'pulang', 'triliun', 'uang', 'negara', 'swiss', 'triliun', 'siap', 'bawa', 'balik', 'treaty', 'mutual', 'legal', 'assistance', 'criminal', 'matters', 'republic', 'indonesia', 'swiss', 'confederation', 'mla', 'resmi', 'sah', 'dpr', 'ri', 'tanggal', 'juli', 'proses', 'konstitusi', 'tarik', 'dana', 'swiss', 'selesai', 'juang', 'panjang', 'hadap', 'ex', 'koruptor', 'bersenggama', 'agama', 'terimakasih', 'kadrun', 'terus', 'nyinyirian', 'kapan', 'uang', 'triliun', 'indonesia', 'nyinyir', 'rasa', 'sulit', 'ruu', 'sah', 'dpr', 'milik', 'rekening', 'gendut', 'siap', 'siap', 'gigit', 'jari', 'mungkin', 'tekan', 'pak', 'jokowi', 'makin', 'kencang', 'baca', 'berita']"
1,"['kadrun', 'kalo', 'lihat', 'foto', 'panas', 'dingin']"
1,"['selamat', 'siang', 'teman', 'teman', 'fb', 'ku', 'cuman', 'mau', 'beri', 'informasi', 'rezeky', 'gak', 'kemarin', 'ikut', 'event', 'promo', 'smartphone', 'jne', 'spesial', 'bulan', 'juni', 'mesan', 'smartphone', 'vivo', 'pro', 'cuman', 'harga', 'gak', 'nyangka', 'cuma', 'harga', 'aku', 'dapat', 'hp', 'vivo', 'pro', 'teman', 'teman', 'fb', 'ku', 'yg', 'penasaran', 'mau', 'ikut', 'inbox', 'aja', 'wa', 'adminnya']"
1,"['lihat', 'siap', 'diri', 'baik', 'kuasa', 'negri']"
1,"['italia', 'punya', 'fasilitas', 'awat', 'sehat', 'canggih', 'semua', 'gagal', 'kendali', 'corona', 'awal', 'anggap', 'sekadar', 'lelucon', 'sekarang', 'presiden', 'menang', 'tak', 'cukup', 'lahan', 'kubur', 'korban', 'corona', 'per', 'hari', 'mungkin', 'hari', 'lebih']"
1,"['polisi', 'goblok', 'buka', 'cpet', 'tolongin', 'malah', 'liat', 'aja']"
1,"['polisi', 'china', 'aniaya', 'wanita', 'uighur', 'leher', 'cekik', 'pake', 'kaki', 'melek', 'tu', 'yg', 'bilang', 'aniaya', 'ham', 'diam', 'ribu', 'bahasa', 'polisi', 'kata', 'liat', 'gilir', 'sama', 'orang', 'sekitar', 'biadab']"
1,"['akhir', 'jokowi', 'sedia', 'undur', 'diri', 'gue', 'nih']"
1,"['begal', 'mulai', 'rambat', 'wilayah', 'wilayah', 'rewan', 'begal', 'harap', 'waspada', 'penuh', 'utama', 'malam', 'jalur', 'gekbrong', 'arah', 'cibeber', 'arah', 'campaka', 'sampe', 'cilaku']"
1,"['turut', 'duka', 'cita', 'atas', 'tinggal', 'juang', 'angkat', 'bapak', 'cosmas', 'batubara', 'hari', 'sabtu', 'juli', 'pukul', 'wib', 'moga', 'maha', 'kuasa', 'ampun', 'segala', 'dosa', 'dapat', 'tempat', 'layak', 'sisi', 'nya', 'aamiin']"
1,"['bantu', 'sebar', 'pak', 'sby', 'telpon', 'moeldoko', 'suruh', 'jkw', 'aku', 'kalah', 'info', 'orang', 'jadi', 'gak', 'usah', 'gusar', 'panik', 'info', 'valid']"
1,"['rela', 'anak', 'cucu', 'bikin', 'rohingya', 'komunis']"
1,"['jadi', 'pln', 'pltu', 'cilacap', 'bunton', 'adipala', 'orang', 'cina', 'bahasa', 'indonesia', 'bahasa', 'jawa', 'banyumasan', 'tp', 'punya', 'ktp', 'cilacap', 'atas', 'nama', 'karsono', 'payah', 'kie', 'camat', 'bupatine', 'kalau']"
1,"['fadlizon', 'semua', 'warga', 'indonesia', 'yg', 'tdk', 'pilih', 'prabowo', 'pilpres', 'km', 'usir', 'dr', 'indonesia', 'serius', 'si', 'zonk', 'https']"
1,"['informasi', 'resmi', 'depnaker', 'republik', 'indonesia', 'selamat', 'pilih', 'dapat', 'harga', 'besar', 'nt', 'departemen', 'tenaga', 'kerja', 'indonesia', 'pahlawan', 'devisa', 'negara', 'baik', 'tahun', 'kode', 'registrasi', 'hubung', 'call', 'office', 'haryono', 'kunjung', 'alamat', 'website', 'penerimah', 'pemberitahuan', 'lalu', 'telephone', 'sms', 'whatsapp', 'arti', 'resmi', 'dapat', 'harga', 'sebut', 'undi', 'harga', 'depnaker', 'bebas', 'biaya', 'dapat', 'sertifikat', 'bebas', 'pajak', 'perintah', 'republik', 'indonesia', 'urus', 'harga', 'dapat', 'awas', 'polisi', 'negara', 'republik', 'indonesia', 'dumaksudkan', 'hindar', 'negatif', 'ingat', 'hati', 'hati', 'tipu', 'bila', 'urus', 'minta', 'biaya', 'oknum', 'oknum', 'bertanggunh', 'jawab', 'tahu', 'pihak', 'depnaker', 'ri', 'kirim', 'depnaker', 'ri']"
1,"['hahhahhahahhaha', 'indonesia', 'penuh', 'pki', 'nih', 'pa']"
0,"['astaga', 'sandiaga', 'saran', 'warga', 'ngadu', 'lurah', 'tak', 'perlu', 'balai', 'kota']"
1,"['prediksi', 'besok', 'bandung', 'kota', 'besok', 'sinyalir', 'kubu', 'besar', 'lg', 'besar', 'online', 'gabung', 'mau', 'kumpul', 'minta', 'tggung', 'jawab', 'kubu', 'angkot', 'gabung', 'soal', 'grab', 'ojek', 'tabrak', 'sngaja', 'sampe', 'mati', 'buah', 'batu', 'grab', 'mati', 'jg', 'tabrak', 'angkot', 'karapitan', 'grab', 'jg', 'gebukin', 'angkot', 'jg', 'ojek', 'online', 'yg', 'hilang', 'ga', 'kabar']"
0,"['irina', 'istri', 'ahli', 'hermansyah', 'sebut', 'mantan', 'psk']"
0,"['nezar', 'patria', 'kader', 'pki', 'ikut', 'rapat', 'malam', 'istana', 'jam', 'malam', 'tuduh', 'alfian', 'tandjung']"
1,"['hati', 'panggil', 'telpon', 'nomor', 'kenal']"
1,"['april', 'lalu', 'menteri', 'dagang', 'rachmat', 'gobel', 'laku', 'bijak', 'larang', 'jual', 'minum', 'alkohol', 'alias', 'minum', 'keras', 'minimarket', 'seluruh', 'indonesia', 'larang', 'tuang', 'atur', 'menteri', 'dagang', 'permendag', 'nomor', 'kendali', 'awas', 'ada', 'edar', 'jual', 'minum', 'alkohol', 'kini', 'ubah']"
1,"['corona', 'hoax']"
1,"['kapal', 'kargo', 'indonesia', 'tuju', 'china', 'lapor', 'tenggelam', 'laut', 'china', 'selatan', 'sabtu', 'malam', 'pukul', 'waktu', 'tempat', 'akibat', 'bocor', 'lambung', 'kapal', 'kapal', 'sebut', 'angkut', 'kadrun', 'tuju', 'china', 'tuju', 'objek', 'coba', 'vaksin', 'harga', 'monyet', 'china', 'sangat', 'mahal', 'harga', 'kadrun', 'kali', 'lebih', 'murah', 'harga', 'monyet', 'lidi', 'otoritas', 'tiongkok', 'kena', 'celaka', 'fatal', 'sebut']"
1,"['lihat', 'kumpul', 'orang', 'jawa', 'tulen', 'sedang', 'santap', 'kuliner', 'khas', 'jawa', 'upa', 'nasi', 'samin', 'kebab', 'buaya', 'panggang', 'minum', 'fifis', 'onta', 'segar', 'cakap', 'pakai', 'bahasa', 'jawa', 'halus', 'alias', 'kromo', 'inggil', 'ana', 'akh', 'antum', 'afwan', 'hmmm', 'sungguh', 'kagum', 'sekali', 'bukan', 'nb', 'seng', 'wani', 'protes', 'pki', 'opo', 'kowe', 'bong']"
1,"['nah', 'mundur', 'lebih', 'hormat', 'pecat', 'hayo', 'monggo', 'undur', 'diri', 'kalau', 'rasa', 'sanggup', 'becus', 'kerja']"
1,"['fkppi', 'bandung', 'kumpul', 'monas', 'siap', 'siaga', 'segala', 'mungkin', 'jadi', 'apabila', 'ruu', 'hip', 'dpr', 'revolusi', 'jihad', 'mati', 'syahid', 'hidup', 'mulia', 'bela', 'negara', 'ancam', 'komunisme']"
1,"['bantu', 'baru', 'datang', 'orang', 'tes', 'semua', 'positif', 'corona']"
